line,checked,open,app,view,theme,key,text
486,True,False,suite,recuperar-acceso,light,suite:recuperar-acceso@light,"- [x] `suite:recuperar-acceso@light` - severity=high; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.3327; odiff=5.47; bbox=12; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_recuperar-acceso_light.png`."
491,True,False,suite,onboarding-error,light,suite:onboarding-error@light,"- [x] `suite:onboarding-error@light` - severity=high; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.33185; odiff=6.07; bbox=12; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_onboarding-error_light.png`."
493,True,False,suite,onboarding,light,suite:onboarding@light,"- [x] `suite:onboarding@light` - severity=high; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.3006; odiff=5.64; bbox=3; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_onboarding_light.png`."
495,True,False,suite,recuperar-acceso,dark,suite:recuperar-acceso@dark,"- [x] `suite:recuperar-acceso@dark` - severity=high; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.19032; odiff=5.3; bbox=14; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_recuperar-acceso_dark.png`."
527,True,False,suite,onboarding-error,dark,suite:onboarding-error@dark,"- [x] `suite:onboarding-error@dark` - severity=high; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.18894; odiff=5.8; bbox=14; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_onboarding-error_dark.png`."
540,True,False,suite,onboarding,dark,suite:onboarding@dark,"- [x] `suite:onboarding@dark` - severity=medium; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.17923; odiff=5.29; bbox=14; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_onboarding_dark.png`."
556,True,False,suite,registro-step2-distortions,light,suite:registro-step2-distortions@light,"- [x] `suite:registro-step2-distortions@light` - severity=high; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.32214; odiff=3.16; bbox=13; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step2-distortions_light.png`."
558,True,False,suite,registro-step3-filled,light,suite:registro-step3-filled@light,"- [x] `suite:registro-step3-filled@light` - severity=high; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.26556; odiff=3.29; bbox=3; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step3-filled_light.png`."
560,True,False,suite,registro,light,suite:registro@light,"- [x] `suite:registro@light` - severity=high; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.2591; odiff=2.16; bbox=3; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro_light.png`."
562,True,False,suite,registro-step2-distortions,dark,suite:registro-step2-distortions@dark,"- [x] `suite:registro-step2-distortions@dark` - severity=high; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.24881; odiff=3.4; bbox=58; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step2-distortions_dark.png`."
564,True,False,suite,registro-step1-emotion-otro,light,suite:registro-step1-emotion-otro@light,"- [x] `suite:registro-step1-emotion-otro@light` - severity=high; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.19019; odiff=5.63; bbox=3; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step1-emotion-otro_light.png`."
566,True,False,suite,registro-step1-emotion-otro,dark,suite:registro-step1-emotion-otro@dark,"- [x] `suite:registro-step1-emotion-otro@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.14207; odiff=5.64; bbox=60; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step1-emotion-otro_dark.png`."
568,True,False,suite,registro-step1-emotion,dark,suite:registro-step1-emotion@dark,"- [x] `suite:registro-step1-emotion@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.13432; odiff=5.46; bbox=60; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step1-emotion_dark.png`."
570,True,False,suite,registro-step1-emotion,light,suite:registro-step1-emotion@light,"- [x] `suite:registro-step1-emotion@light` - severity=medium; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.12876; odiff=5.44; bbox=3; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step1-emotion_light.png`."
572,True,False,suite,registro-step3-filled,dark,suite:registro-step3-filled@dark,"- [x] `suite:registro-step3-filled@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.10273; odiff=3.34; bbox=74; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-step3-filled_dark.png`."
574,True,False,suite,registro,dark,suite:registro@dark,"- [x] `suite:registro@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.09228; odiff=2.14; bbox=74; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro_dark.png`."
576,True,False,suite,registro-success,dark,suite:registro-success@dark,"- [x] `suite:registro-success@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.08708; odiff=1.03; bbox=131; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-success_dark.png`."
578,True,False,suite,registro-success,light,suite:registro-success@light,"- [x] `suite:registro-success@light` - severity=medium; findings=raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.06139; odiff=1.0; bbox=13; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_registro-success_light.png`."
583,True,False,suite,dbt-practice-stop,light,suite:dbt-practice-stop@light,"- [x] `suite:dbt-practice-stop@light` - severity=high; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,odiff_delta; changed=0.70399; odiff=8.83; bbox=64; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_dbt-practice-stop_light.png`."
585,True,False,suite,dbt-practice-stop,dark,suite:dbt-practice-stop@dark,"- [x] `suite:dbt-practice-stop@dark` - severity=high; findings=raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout; changed=0.1998; odiff=2.56; bbox=14; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_dbt-practice-stop_dark.png`."
587,True,False,suite,dbt-library,dark,suite:dbt-library@dark,"- [x] `suite:dbt-library@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,qa_missed_raw_or_layout; changed=0.15236; odiff=3.34; bbox=60; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_dbt-library_dark.png`."
589,True,False,suite,dbt-library,light,suite:dbt-library@light,"- [x] `suite:dbt-library@light` - severity=medium; findings=raw_pixel_delta,qa_missed_raw_or_layout; changed=0.13701; odiff=3.19; bbox=12; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_dbt-library_light.png`."
591,True,False,suite,dbt-now,dark,suite:dbt-now@dark,"- [x] `suite:dbt-now@dark` - severity=medium; findings=raw_pixel_delta,layout_drift,qa_missed_raw_or_layout; changed=0.11628; odiff=2.18; bbox=162; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_dbt-now_dark.png`."
593,True,False,suite,dbt-now,light,suite:dbt-now@light,"- [x] `suite:dbt-now@light` - severity=medium; findings=raw_pixel_delta,qa_missed_raw_or_layout; changed=0.10742; odiff=1.9; bbox=12; panel=`reports\qa\layered_visual_compare_fresh\panels\suite_dbt-now_light.png`."
598,True,False,hub,detalle-plan-timer,dark,hub:detalle-plan-timer@dark,"- [x] `hub:detalle-plan-timer@dark` - severity=high; findings=raw_pixel_delta,layout_drift,qa_missed_raw_or_layout; changed=0.45219; odiff=6.04; bbox=143; panel=`reports\qa\layered_visual_compare_fresh\panels\hub_detalle-plan-timer_dark.png`."
600,True,False,hub,detalle-plan-rutina,dark,hub:detalle-plan-rutina@dark,"- [x] `hub:detalle-plan-rutina@dark` - severity=high; findings=raw_pixel_delta,layout_drift,qa_missed_raw_or_layout; changed=0.44947; odiff=5.25; bbox=151; panel=`reports\qa\layered_visual_compare_fresh\panels\hub_detalle-plan-rutina_dark.png`."
602,True,False,hub,detalle-plan-timer,light,hub:detalle-plan-timer@light,"- [x] `hub:detalle-plan-timer@light` - severity=high; findings=raw_pixel_delta,layout_drift,qa_missed_raw_or_layout; changed=0.44912; odiff=5.96; bbox=142; panel=`reports\qa\layered_visual_compare_fresh\panels\hub_detalle-plan-timer_light.png`."
